"Age","Gender","Latitude","Longitude","PSAI_M","PSAI_F","PSAI_Total","Mtoy","Ftoy","BEM_Masc","BEM_Fem"
34,1,40.54649353,-80.05249786,42,12,81.25,3.25,1,5.9,3.1
51,1,41.69700623,-71.52539825,28,40,35.05,1.25,3.33,4.95,4.35
23,1,40.50480652,-79.91320038,45,15,81.25,3,1,4.5,4.4
30,1,34.03900146,-117.7547989,33,15,68.05,2.5,1,3.5,3.3
21,1,42.43930054,-71.77690125,32,37,42.75,2.5,3,4.5,4.8
19,1,40.76860046,-74.01989746,48,22,76.85,4.5,1,3.95,3.84
67,1,30.3795929,-97.67569733,46,18,79.05,4.25,1,5.95,3.45
33,1,39.7684021,-86.15799713,42,24,68.05,3.75,1.67,4.05,4.3
34,1,35.46760559,-97.5164032,45,17,79.05,3.75,1,4.15,3.95
30,1,34.16659546,-118.2025986,52,19,84.55,4,1,4.7,4.5
64,1,34.05599976,-84.37950134,41,18,73.55,3,1,5.2,4.85
40,1,13,122,56,18,90.05,4.75,1,6.55,3
30,1,27.71670532,85.31671143,38,25,62.55,3.25,2,4.3,4.11
26,1,36.64079285,-87.47180176,42,24,68.05,3.5,1.33,4.3,4.1
26,1,44.98429871,-93.26540375,29,22,55.95,2.25,2,5.35,4.3
31,1,32.95370483,-96.89029694,48,27,71.35,3,2,5.4,3.35
25,1,13.08329773,80.28329468,38,39,47.15,3,3.67,4.6,4.85
31,1,8.506896973,76.95690918,50,43,55.95,4.5,3.33,5.85,5.6
45,1,42.7684021,-78.88710022,44,24,70.25,2.75,1,4.45,3.35
45,1,29.707901,-95.40100098,45,18,77.95,4,1.33,5.65,2.9
21,1,39.5644989,-75.59700012,40,24,65.85,2.75,1,4.9,4.65
60,1,33.99369812,-81.01989746,54,17,88.95,4.25,1,5.4,4.21
26,1,33.99369812,-81.01989746,28,25,51.55,2.5,1,5.2,4.05
42,1,33.99369812,-81.01989746,47,26,71.35,4.5,2,4.75,4.35
33,1,34.05220032,-118.2436981,50,27,73.55,4,1.67,5.5,4.63
50,1,39.73699951,-105.0203018,45,21,74.65,4,1,6.35,3.75
51,1,39.73699951,-105.0203018,48,21,77.95,4.25,1.33,6.25,3.7
30,1,38.44090271,-78.87419891,36,31,53.75,3,2.67,4.5,4.85
34,1,41.40159607,-82.73100281,41,18,73.55,3.5,1,3.85,3.7
35,1,39.47920227,-84.71299744,37,29,57.05,2.75,2,5.2,5.2
36,1,41.8032074,-88.13410187,49,22,77.95,3.5,1.33,4.85,4.7
48,1,34.31959534,-86.27349854,44,21,73.55,4,1,5.35,4.75
35,1,40.78979492,-73.5963974,49,21,79.05,4,1.33,5.85,4.6
32,1,41.48750305,-81.67240143,33,22,60.35,2.5,1,3.9,3.5
52,1,39.16200256,-84.45690155,58,25,84.55,4.75,1.67,6.35,4.45
37,1,33.54460144,-86.92919922,46,26,70.25,4,2,4.79,4.75
33,1,32.71530151,-117.1573029,42,18,74.65,3.5,1,5.05,4.05
19,1,40.51029968,-88.9980011,33,31,50.45,3,3,3.45,3.45
41,1,61.21809387,-149.9002991,38,22,65.85,3.25,2,3.85,4
